3/23/26, 12:42 PM
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	   14007	275981	                1683315	               1918883	   115	
Remaining:       	   14007	275981	                1683315	               1918883	   115	
Unique:          	   13474	272658	                1665325	               1897768	   115	
Unique Remaining:	   13474	272658	                1665325	               1897768	   115	


Individual File Statistics:

File Name                                                                                         	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
030-respiratory-failure-oxygenation-and-ventilatory-support.txt                                   	           119	               119	            114	                      114	       2222	           2222	        2199	                  2199	                        13971	                            13971	                         13860	                                   13860	                       15805	                           15805	                        15673	                                  15673	
031-venous-thromboembolism.txt                                                                    	           158	               158	            150	                      150	       3556	           3556	        3498	                  3498	                        21261	                            21261	                         20931	                                   20931	                       24263	                           24263	                        23881	                                  23881	
032-abdominal-pain.txt                                                                            	           120	               120	            117	                      117	       2017	           2017	        1996	                  1996	                        12578	                            12578	                         12471	                                   12471	                       14247	                           14247	                        14119	                                  14119	
033-nausea-and-vomiting.txt                                                                       	            86	                86	             83	                       83	       1184	           1184	        1163	                  1163	                         7652	                             7652	                          7545	                                    7545	                        8598	                            8598	                         8470	                                   8470	
034-diarrhoea.txt                                                                                 	           147	               147	            144	                      144	       1973	           1973	        1952	                  1952	                        11834	                            11834	                         11727	                                   11727	                       13435	                           13435	                        13307	                                  13307	
035-jaundice.txt                                                                                  	            50	                50	             46	                       46	       1043	           1043	        1021	                  1021	                         6979	                             6979	                          6856	                                    6856	                        7860	                            7860	                         7716	                                   7716	
036-abdominal-swelling-mass-and-hepato-splenomegaly.txt                                           	            94	                94	             91	                       91	       1787	           1787	        1766	                  1766	                        10803	                            10803	                         10696	                                   10696	                       12295	                           12295	                        12167	                                  12167	
037-acute-oesophageal-disorders.txt                                                               	            65	                65	             62	                       62	       1584	           1584	        1563	                  1563	                        10596	                            10596	                         10489	                                   10489	                       11994	                           11994	                        11866	                                  11866	
038-haematemesis-and-melaena.txt                                                                  	           152	               152	            149	                      149	       2796	           2796	        2775	                  2775	                        16100	                            16100	                         15993	                                   15993	                       18478	                           18478	                        18350	                                  18350	
039-lower-gastrointestinal-bleeding.txt                                                           	           114	               114	            111	                      111	       2018	           2018	        1997	                  1997	                        11569	                            11569	                         11462	                                   11462	                       13293	                           13293	                        13165	                                  13165	
040-inflammatory-bowel-disease.txt                                                                	           130	               130	            127	                      127	       2186	           2186	        2165	                  2165	                        13607	                            13607	                         13500	                                   13500	                       15516	                           15516	                        15388	                                  15388	
041-alcohol-related-liver-disease-and-acute-medical-complications.txt                             	            64	                64	             61	                       61	       1432	           1432	        1411	                  1411	                         8672	                             8672	                          8565	                                    8565	                        9914	                            9914	                         9786	                                   9786	
042-acute-liver-failure-and-decompensated-chronic-liver-disease.txt                               	           147	               147	            140	                      140	       3621	           3621	        3555	                  3555	                        21571	                            21571	                         21172	                                   21172	                       24683	                           24683	                        24225	                                  24225	
043-biliary-tract-disorders-and-acute-pancreatitis.txt                                            	            43	                43	             37	                       37	        913	            913	         879	                   879	                         5754	                             5754	                          5582	                                    5582	                        6495	                            6495	                         6293	                                   6293	
044-diabetic-emergencies-dka-and-hhs.txt                                                          	           113	               113	             98	                       98	       2282	           2282	        2249	                  2249	                        12268	                            12268	                         12137	                                   12137	                       14289	                           14289	                        14137	                                  14137	
045-hyperglycaemic-states.txt                                                                     	            70	                70	             62	                       62	       1109	           1109	        1083	                  1083	                         6060	                             6060	                          5943	                                    5943	                        7003	                            7003	                         6865	                                   6865	
046-hypoglycaemia.txt                                                                             	            41	                41	             38	                       38	        966	            966	         945	                   945	                         5724	                             5724	                          5617	                                    5617	                        6569	                            6569	                         6441	                                   6441	
047-adrenal-disorders.txt                                                                         	           121	               121	            117	                      117	       2804	           2804	        2766	                  2766	                        17440	                            17440	                         17253	                                   17253	                       19950	                           19950	                        19725	                                  19725	
048-disorders-of-anterior-and-posterior-pituitary.txt                                             	            83	                83	             77	                       77	       1767	           1767	        1724	                  1724	                        10964	                            10964	                         10729	                                   10729	                       12561	                           12561	                        12284	                                  12284	
049-thyroid-emergencies.txt                                                                       	           147	               147	            143	                      143	       3037	           3037	        3011	                  3011	                        18069	                            18069	                         17927	                                   17927	                       20570	                           20570	                        20403	                                  20403	
050-parathyroid-disorders.txt                                                                     	           107	               107	            103	                      103	       2101	           2101	        2079	                  2079	                        13576	                            13576	                         13467	                                   13467	                       15309	                           15309	                        15179	                                  15179	
051-pancreatic-endocrine-disorders-non-diabetic.txt                                               	            77	                77	             74	                       74	       2143	           2143	        2122	                  2122	                        13937	                            13937	                         13830	                                   13830	                       15620	                           15620	                        15492	                                  15492	
052-electrolyte-disorders.txt                                                                     	           255	               255	            252	                      252	       5031	           5031	        5010	                  5010	                        31056	                            31056	                         30949	                                   30949	                       35192	                           35192	                        35064	                                  35064	
053-headache-syndromes-including-subarachnoid-haemorrhage-and-cerebral-venous-sinus-thrombosis.txt	           145	               145	            141	                      141	       2558	           2558	        2535	                  2535	                        15795	                            15795	                         15676	                                   15676	                       18031	                           18031	                        17891	                                  17891	
054-weakness-and-paralysis.txt                                                                    	            88	                88	             83	                       83	       1457	           1457	        1434	                  1434	                         9930	                             9930	                          9794	                                    9794	                       10994	                           10994	                        10837	                                  10837	
055-visual-disturbance.txt                                                                        	           244	               244	            241	                      241	       3031	           3031	        3010	                  3010	                        18644	                            18644	                         18537	                                   18537	                       21140	                           21140	                        21012	                                  21012	
056-transient-ischaemic-attack-and-stroke.txt                                                     	           226	               226	            223	                      223	       4813	           4813	        4792	                  4792	                        29395	                            29395	                         29288	                                   29288	                       33532	                           33532	                        33404	                                  33404	
057-seizures-and-epilepsy.txt                                                                     	           118	               118	            114	                      114	       2285	           2285	        2256	                  2256	                        13378	                            13378	                         13223	                                   13223	                       15341	                           15341	                        15158	                                  15158	
058-peripheral-neuropathy-acute-and-chronic.txt                                                   	            82	                82	             69	                       69	        709	            709	         664	                   664	                         4860	                             4860	                          4573	                                    4573	                        5422	                            5422	                         5103	                                   5103	
059-guillain-barr-syndrome.txt                                                                    	           113	               113	            102	                      102	       1599	           1599	        1569	                  1569	                        10352	                            10352	                         10162	                                   10162	                       11663	                           11663	                        11451	                                  11451	
060-multiple-sclerosis.txt                                                                        	           157	               157	            152	                      152	       3214	           3214	        3181	                  3181	                        19885	                            19885	                         19718	                                   19718	                       22600	                           22600	                        22402	                                  22402	
061-myasthenia-gravis.txt                                                                         	            81	                81	             78	                       78	       1565	           1565	        1544	                  1544	                         9428	                             9428	                          9321	                                    9321	                       10809	                           10809	                        10681	                                  10681	
062-parkinson-s-disease-and-other-movement-disorders.txt                                          	           136	               136	            131	                      131	       2638	           2638	        2599	                  2599	                        15784	                            15784	                         15571	                                   15571	                       18094	                           18094	                        17844	                                  17844	
063-motor-neurone-disease.txt                                                                     	            98	                98	             95	                       95	       2024	           2024	        2003	                  2003	                        11959	                            11959	                         11852	                                   11852	                       13769	                           13769	                        13641	                                  13641	
064-raised-intracranial-pressure.txt                                                              	            96	                96	             93	                       93	       1563	           1563	        1542	                  1542	                         9629	                             9629	                          9522	                                    9522	                       10990	                           10990	                        10862	                                  10862	
065-acute-spinal-pain.txt                                                                         	            71	                71	             68	                       68	       1311	           1311	        1290	                  1290	                         7662	                             7662	                          7555	                                    7555	                        8843	                            8843	                         8715	                                   8715	
066-spinal-cord-compression.txt                                                                   	            75	                75	             70	                       70	       1373	           1373	        1310	                  1310	                         8040	                             8040	                          7707	                                    7707	                        9225	                            9225	                         8832	                                   8832	
067-functional-neurological-disorder-in-the-acute-setting.txt                                     	           163	               163	            157	                      157	       4589	           4589	        4568	                  4568	                        27819	                            27819	                         27709	                                   27709	                       31707	                           31707	                        31576	                                  31576	
068-comprehensive-geriatric-assessment.txt                                                        	           120	               120	            117	                      117	       2246	           2246	        2225	                  2225	                        13214	                            13214	                         13107	                                   13107	                       15128	                           15128	                        15000	                                  15000	
069-delirium-dementia-and-cognitive-disorders.txt                                                 	           119	               119	            116	                      116	       2043	           2043	        2022	                  2022	                        12768	                            12768	                         12661	                                   12661	                       14534	                           14534	                        14406	                                  14406	
070-perioperative-medicine.txt                                                                    	           142	               142	            139	                      139	       2830	           2830	        2809	                  2809	                        16823	                            16823	                         16716	                                   16716	                       19351	                           19351	                        19223	                                  19223	
071-cellulitis-and-necrotising-fasciitis.txt                                                      	            61	                61	             57	                       57	       1186	           1186	        1158	                  1158	                         7497	                             7497	                          7342	                                    7342	                        8469	                            8469	                         8287	                                   8287	
072-urinary-tract-infection.txt                                                                   	           115	               115	            111	                      111	       2539	           2539	        2517	                  2517	                        15741	                            15741	                         15629	                                   15629	                       17961	                           17961	                        17828	                                  17828	
073-central-nervous-system-infection.txt                                                          	           136	               136	            128	                      128	       3307	           3307	        3261	                  3261	                        20355	                            20355	                         20106	                                   20106	                       23113	                           23113	                        22821	                                  22821	
074-pancytopenia-and-febrile-neutropenia.txt                                                      	            60	                60	             57	                       57	       1498	           1498	        1477	                  1477	                         9888	                             9888	                          9781	                                    9781	                       11184	                           11184	                        11056	                                  11056	
075-fever-on-return-from-abroad.txt                                                               	           119	               119	            116	                      116	       2965	           2965	        2944	                  2944	                        18089	                            18089	                         17982	                                   17982	                       20627	                           20627	                        20499	                                  20499	
076-pyrexia-of-unknown-origin.txt                                                                 	            74	                74	             71	                       71	       1646	           1646	        1625	                  1625	                        10473	                            10473	                         10366	                                   10366	                       11868	                           11868	                        11740	                                  11740	
077-hiv-infection.txt                                                                             	            81	                81	             75	                       75	       1929	           1929	        1876	                  1876	                        12590	                            12590	                         12281	                                   12281	                       14170	                           14170	                        13811	                                  13811	
078-covid-19-and-future-pandemics.txt                                                             	           153	               153	            149	                      149	       3443	           3443	        3411	                  3411	                        20501	                            20501	                         20341	                                   20341	                       23498	                           23498	                        23307	                                  23307	
079-septic-arthritis.txt                                                                          	            59	                59	             55	                       55	       1066	           1066	        1042	                  1042	                         6586	                             6586	                          6455	                                    6455	                        7504	                            7504	                         7350	                                   7350	
080-anaemia-blood-transfusion-and-alternatives.txt                                                	           115	               115	            110	                      110	       2619	           2619	        2595	                  2595	                        16114	                            16114	                         15984	                                   15984	                       18463	                           18463	                        18311	                                  18311	
081-bleeding-disorders.txt                                                                        	            32	                32	             29	                       29	        895	            895	         874	                   874	                         6047	                             6047	                          5940	                                    5940	                        6785	                            6785	                         6657	                                   6657	
082-thrombocytopenia-and-thrombosis.txt                                                           	            33	                33	             30	                       30	        759	            759	         738	                   738	                         4792	                             4792	                          4685	                                    4685	                        5411	                            5411	                         5283	                                   5283	
083-acute-painful-sickle-cell-crisis.txt                                                          	            66	                66	             60	                       60	       1030	           1030	        1002	                  1002	                         6184	                             6184	                          6026	                                    6026	                        7116	                            7116	                         6934	                                   6934	
084-common-haematological-malignancies.txt                                                        	           352	               352	            330	                      330	       2915	           2915	        2772	                  2772	                        21446	                            21446	                         20442	                                   20442	                       24208	                           24208	                        23068	                                  23068	
085-management-of-anticoagulation.txt                                                             	           169	               169	            163	                      163	       3572	           3572	        3539	                  3539	                        19215	                            19215	                         19020	                                   19020	                       22133	                           22133	                        21907	                                  21907	
086-acute-kidney-injury.txt                                                                       	           147	               147	            140	                      140	       2579	           2579	        2554	                  2554	                        15536	                            15536	                         15415	                                   15415	                       17652	                           17652	                        17510	                                  17510	
087-chronic-kidney-disease-including-end-stage-kidney-disease.txt                                 	           159	               159	            155	                      155	       3838	           3838	        3816	                  3816	                        22919	                            22919	                         22810	                                   22810	                       26353	                           26353	                        26223	                                  26223	
088-renal-tubular-disorders.txt                                                                   	           196	               196	            190	                      190	       2691	           2691	        2649	                  2649	                        17588	                            17588	                         17326	                                   17326	                       19846	                           19846	                        19545	                                  19545	
089-nephrotic-syndrome.txt                                                                        	           197	               197	            194	                      194	       4317	           4317	        4296	                  4296	                        26551	                            26551	                         26444	                                   26444	                       30399	                           30399	                        30271	                                  30271	
090-glomerular-diseases.txt                                                                       	           153	               153	            148	                      148	       2508	           2508	        2480	                  2480	                        16058	                            16058	                         15891	                                   15891	                       18311	                           18311	                        18118	                                  18118	
091-acute-arthritis.txt                                                                           	            52	                52	             47	                       47	        813	            813	         786	                   786	                         5440	                             5440	                          5299	                                    5299	                        6079	                            6079	                         5913	                                   5913	
092-crystal-arthropathies.txt                                                                     	            47	                47	             42	                       42	        911	            911	         885	                   885	                         5864	                             5864	                          5730	                                    5730	                        6586	                            6586	                         6428	                                   6428	
093-rheumatoid-arthritis.txt                                                                      	           157	               157	            154	                      154	       2100	           2100	        2079	                  2079	                        12952	                            12952	                         12845	                                   12845	                       14774	                           14774	                        14646	                                  14646	
094-acute-vasculitis.txt                                                                          	           100	               100	             97	                       97	       2112	           2112	        2091	                  2091	                        14638	                            14638	                         14531	                                   14531	                       16391	                           16391	                        16263	                                  16263	
095-multisystem-rheumatic-disorders.txt                                                           	            67	                67	             63	                       63	       1594	           1594	        1568	                  1568	                        11042	                            11042	                         10909	                                   10909	                       12186	                           12186	                        12028	                                  12028	
096-complications-of-cancer.txt                                                                   	           146	               146	            139	                      139	       5300	           5300	        5275	                  5275	                        34154	                            34154	                         34021	                                   34021	                       38010	                           38010	                        37854	                                  37854	
097-palliative-and-end-of-life-care.txt                                                           	           115	               115	            111	                      111	       2517	           2517	        2489	                  2489	                        14853	                            14853	                         14702	                                   14702	                       16924	                           16924	                        16746	                                  16746	
098-acute-rash.txt                                                                                	            72	                72	             69	                       69	       1589	           1589	        1568	                  1568	                        10592	                            10592	                         10485	                                   10485	                       11768	                           11768	                        11640	                                  11640	
099-erythroderma-and-toxic-epidermal-necrolysis.txt                                               	           120	               120	            117	                      117	       2446	           2446	        2425	                  2425	                        15457	                            15457	                         15350	                                   15350	                       17492	                           17492	                        17364	                                  17364	
