source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
097-newborn-life-support-fig-02	097-newborn-life-support	c1CZY.xhtml	source/figures-raw/097-newborn-life-support-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JYM.jpg
098-pre-eclampsia-and-eclampsia-fig-01	098-pre-eclampsia-and-eclampsia	c1DC4.xhtml	source/figures-raw/098-pre-eclampsia-and-eclampsia-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JYN.jpg
098-pre-eclampsia-and-eclampsia-fig-02	098-pre-eclampsia-and-eclampsia	c1DC4.xhtml	source/figures-raw/098-pre-eclampsia-and-eclampsia-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JYP.jpg
099-shoulder-dystocia-fig-01	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JYR.jpg
099-shoulder-dystocia-fig-02	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JYS.jpg
099-shoulder-dystocia-fig-03	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JYT.jpg
099-shoulder-dystocia-fig-04	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JYU.jpg
099-shoulder-dystocia-fig-05	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-05.jpg	image/jpeg			source_asset_href=image_rsrc1JYV.jpg
099-shoulder-dystocia-fig-06	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-06.jpg	image/jpeg			source_asset_href=image_rsrc1JYW.jpg
099-shoulder-dystocia-fig-07	099-shoulder-dystocia	c1DK0.xhtml	source/figures-raw/099-shoulder-dystocia-fig-07.jpg	image/jpeg			source_asset_href=image_rsrc1JYX.jpg
101-vaginal-bleeding-during-pregnancy-up-to-20-weeks-gestation-fig-01	101-vaginal-bleeding-during-pregnancy-up-to-20-weeks-gestation	c1DY6.xhtml	source/figures-raw/101-vaginal-bleeding-during-pregnancy-up-to-20-weeks-gestation-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JYY.jpg
102-vaginal-bleeding-during-pregnancy-after-20-weeks-gestation-fig-01	102-vaginal-bleeding-during-pregnancy-after-20-weeks-gestation	c1E48.xhtml	source/figures-raw/102-vaginal-bleeding-during-pregnancy-after-20-weeks-gestation-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JYZ.jpg
103-vaginal-bleeding-gynaecological-causes-fig-01	103-vaginal-bleeding-gynaecological-causes	c1E7B.xhtml	source/figures-raw/103-vaginal-bleeding-gynaecological-causes-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JZ0.jpg
103-vaginal-bleeding-gynaecological-causes-fig-02	103-vaginal-bleeding-gynaecological-causes	c1E7B.xhtml	source/figures-raw/103-vaginal-bleeding-gynaecological-causes-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JZ1.jpg
106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-01	106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials	c1ETC.xhtml	source/figures-raw/106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JZ2.jpg
106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-02	106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials	c1ETC.xhtml	source/figures-raw/106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JZ3.jpg
106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-03	106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials	c1ETC.xhtml	source/figures-raw/106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JZ4.jpg
106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-04	106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials	c1ETC.xhtml	source/figures-raw/106-chemical-biological-radiological-nuclear-cbrn-incidents-including-hazardous-materials-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JZ5.jpg
107-major-complex-and-high-risk-incidents-fig-01	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JZ6.jpg
107-major-complex-and-high-risk-incidents-fig-02	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JZ7.jpg
